Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
1674,American Decorative Arts,Side Chair,Side Chair,American,Unknown,1794,1799.0,"Mahogany, ebony, ash, birch, white pine","Friends of the American Wing Fund, 1962",United States
2430,American Decorative Arts,Pitcher,Covered Pitcher,American,Unknown,1700,1900.0,Earthenware,"Rogers Fund, 1913",United States
6406,American Decorative Arts,Plate,Plate,Dutch,Unknown,1740,1760.0,Earthenware,"Rogers Fund, 1933",Netherlands
7616,American Decorative Arts,Soup bowl,Soup Bowl,American,Unknown,1885,1885.0,Porcelain,"Gift of Mr. and Mrs. Franklin Chace, 1969",United States
15012,American Decorative Arts,"Painting, miniature",Portrait of a Lady,American,Unknown,1840,1840.0,Watercolor on ivory,"Fletcher Fund, 2006",Unknown
23510,Arms and Armor,Arrowhead (Yanonē),Arrowhead (Yanonē),Japanese,Unknown,1701,1800.0,Steel,"The Collection of Giovanni P. Morosini, presented by his daughter Giulia, 1932",Unknown
29920,Arms and Armor,Knife handle (Kozuka),Knife Handle (Kozuka),Japanese,Unknown,1770,1852.0,"Copper-gold alloy (shakudō), copper-silver alloy (shibuichi), gold","The Howard Mansfield Collection, Gift of Howard Mansfield, 1936",Unknown
32848,Arms and Armor,Coin (Thaler),Coin (Thaler) Showing August I (The Pious) of Saxony,German,Unknown,1580,1580.0,Silver,"Gift of Bashford Dean, 1923",Unknown
34014,Arms and Armor,Two drawings,Drawings Showing Combat on Foot (Champ Clos),German,Unknown,1501,1600.0,"Pen, ink and watercolor on paper","Bashford Dean Memorial Collection, Funds from various donors, 1929",Unknown
34308,Arms and Armor,Partisan,Partisan,German,Unknown,1701,1800.0,"Steel, wood, textile, metallic thread","Bashford Dean Memorial Collection, Gift of Edward S. Harkness, 1929",Unknown
34477,Arms and Armor,Sword guard (Tsuba),Sword Guard (Tsuba),Japanese,Unknown,1590,1900.0,"Iron, gold, silver, copper","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",Unknown
35163,Arms and Armor,Dirk with sheath,Dirk with Sheath,possibly Spanish,Unknown,1800,1850.0,"Steel, horn, brass, leather, copper wire","Gift of Rutherfurd Stuyvesant, 1891",Unknown
39917,Asian Art,Hanging scroll mounted as handscroll,Unknown,China,Chinese,1037,1101.0,Hanging scroll mounted as a handscroll; ink on paper,"Bequest of John M. Crawford Jr., 1988",Unknown
43092,Asian Art,Girdle ornament,Unknown,China,Unknown,,,Jade,"Gift of Samuel T. Peters, 1913",Unknown
53280,Asian Art,Bracelet,Unknown,Thailand,Unknown,,,Bronze,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998",Unknown
54547,Asian Art,Print,Unknown,Japan,Japanese,1800,1899.0,Polychrome woodblock print (surimono); ink and color on paper,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",Unknown
54626,Asian Art,Album leaf,Unknown,Japan,Japanese,1877,1897.0,Album leaf; ink and color on silk,"Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith, 1914",Unknown
55442,Asian Art,Print,Unknown,Japan,Japanese,1838,1838.0,Polychrome woodblock print; ink and color on paper,"Rogers Fund, 1922",Unknown
58899,Asian Art,Inrō,Unknown,Japan,Unknown,1800,1899.0,"Lacquer, hirame ground, gold, red, silver and brown hiramakie, raden inlay; Interior: nashiji and fundame","The Howard Mansfield Collection, Purchase, Rogers Fund, 1936",Unknown
62174,Asian Art,Basket,Unknown,Japan,Unknown,1800,1899.0,Bamboo,"Edward C. Moore Collection, Bequest of Edward C. Moore, 1891",Unknown
